Fighter1,Fighter2,Weight Class,Winning Method,Round,Time,Win/Loss (Fighter1),Win Rate (Fighter 1),Total Fights (Fighter 1),Win (Fighter 1),Lose (Fighter 1),Draw (Fighter 1),SLpM (Fighter 1),Str. Acc. (Fighter 1),SApM (Fighter 1),Str. Def (Fighter 1),TD Avg. (Fighter 1),TD Acc. (Fighter 1),TD Def. (Fighter 1),Sub. Avg. (Fighter 1),Win Rate (Fighter 2),Total Fights (Fighter 2),Win (Fighter 2),Lose (Fighter 2),Draw (Fighter 2),SLpM (Fighter 2),Str. Acc. (Fighter 2),SApM (Fighter 2),Str. Def (Fighter 2),TD Avg. (Fighter 2),TD Acc. (Fighter 2),TD Def. (Fighter 2),Sub. Avg. (Fighter 2)
Loopy Godinez,Tabatha Ricci,Women's Strawweight,S-DEC,3,5:00,Win,75%,16,12,4,0,4.13,48%,3.58,63%,3.04,46%,84%,1,82%,11,9,2,0,4.41,37%,4.86,59%,3.39,41%,71%,0.2
Mateusz Rebecki,Roosevelt Roberts,Lightweight,SUB Armbar,1,3:08,Win,95%,19,18,1,0,5.31,53%,2.01,63%,4.16,72%,66%,1.6,71%,17,12,5,0,3.05,44%,3.12,52%,1.39,29%,52%,0.9
Nazim Sadykhov,Viacheslav Borshchev,Lightweight,M-DEC,3,5:00,Draw,82%,11,9,1,1,4.94,48%,5.72,48%,1.71,62%,75%,0.3,64%,11,7,3,1,5.82,58%,4.07,56%,0,0%,36%,0
Jared Gordon,Mark Madsen,Lightweight,KO/TKO Punch,1,4:42,Win,77%,26,20,6,0,5.39,57%,3.4,57%,1.95,40%,62%,0,86%,14,12,2,0,3.56,49%,3.97,52%,2.86,66%,62%,0
John Castaneda,Kyung Ho Kang,Catch Weight,U-DEC,3,5:00,Win,78%,27,21,6,0,4.79,50%,4.99,56%,1.92,37%,71%,0.2,66%,29,19,10,0,3.35,48%,3.33,55%,1.87,57%,68%,0.8
Joshua Van,Kevin Borjas,Flyweight,U-DEC,3,5:00,Win,91%,11,10,1,0,9.08,53%,5.77,60%,1.14,42%,78%,0,82%,11,9,2,0,5.4,41%,6.63,49%,0,0%,56%,0
Jamall Emmers,Dennis Buzukja,Featherweight,KO/TKO Punch,1,0:49,Win,71%,28,20,8,0,5.3,48%,4.05,57%,1.83,40%,90%,0.2,75%,16,12,4,0,4.16,42%,5.09,45%,0.8,30%,72%,0.3
Jailton Almeida,Derrick Lewis,Heavyweight,U-DEC,5,5:00,Win,87%,23,20,3,0,2.54,64%,0.74,40%,6.88,59%,75%,2.2,69%,39,27,12,0,2.43,50%,2.48,40%,0.53,26%,53%,0
Nicolas Dalby,Gabriel Bonfim,Welterweight,KO/TKO Knees,2,4:33,Win,85%,27,23,4,0,4.03,43%,3.43,52%,1.11,30%,60%,0.1,94%,16,15,1,0,4.87,40%,5.25,59%,4.75,71%,100%,3.8
Rodrigo Nascimento,Don'Tale Mayes,Heavyweight,U-DEC,3,5:00,Win,92%,12,11,1,0,4.31,48%,4.76,43%,1.2,33%,77%,0.7,63%,16,10,6,0,3.6,44%,3.84,46%,0.79,43%,60%,0
Caio Borralho,Abus Magomedov,Middleweight,U-DEC,3,5:00,Win,94%,16,15,1,0,2.73,58%,1.98,60%,2.16,63%,57%,0.5,78%,32,25,6,1,3.73,42%,5.36,54%,0.61,50%,100%,0
Elves Brener,Kaynan Kruschewsky,Catch Weight,KO/TKO Punch,1,4:01,Win,84%,19,16,3,0,4.64,46%,5.05,55%,0.93,20%,85%,0,88%,17,15,2,0,5.08,39%,4.79,47%,2.18,100%,0%,2.2
Rinat Fakhretdinov,Elizeu Zaleski dos Santos,Welterweight,M-DEC,3,5:00,Draw,91%,23,21,1,1,4.05,56%,2.16,52%,4.25,46%,100%,0.3,75%,32,24,7,1,4.52,42%,3.33,57%,0.43,13%,68%,0.4
Vitor Petrino,Modestas Bukauskas,Light Heavyweight,KO/TKO Punch,2,1:03,Win,100%,11,11,0,0,2.74,45%,2.49,45%,3.86,68%,71%,0.8,71%,21,15,6,0,3.28,41%,3.87,50%,0,0%,71%,0
Angela Hill,Denise Gomes,Women's Strawweight,U-DEC,3,5:00,Win,55%,29,16,13,0,5.44,50%,4.94,61%,0.73,34%,75%,0.1,73%,11,8,3,0,4.81,48%,3.66,49%,1.13,33%,47%,0.8
Eduarda Moura,Montserrat Conejo Ruiz,Women's Strawweight,KO/TKO Punches,2,2:14,Win,100%,10,10,0,0,5.61,67%,0.45,80%,5.34,100%,0%,1.3,71%,14,10,4,0,0.79,27%,4.96,37%,2.05,83%,33%,0.8
Marc Diakiese,Kaue Fernandes,Lightweight,S-DEC,3,5:00,Win,71%,24,17,7,0,2.54,40%,2.64,52%,3.29,43%,66%,0,80%,10,8,2,0,1.53,54%,0.87,59%,1,100%,62%,0
Islam Makhachev,Alexander Volkanovski,Lightweight,KO/TKO Kick,1,3:06,Win,96%,26,25,1,0,2.46,60%,1.27,61%,3.17,60%,90%,1,87%,30,26,4,0,6.16,56%,3.44,58%,1.78,37%,70%,0.2
Khamzat Chimaev,Kamaru Usman,Middleweight,M-DEC,3,5:00,Win,100%,13,13,0,0,5.72,58%,3.46,42%,3.99,46%,100%,2.7,83%,24,20,4,0,4.36,52%,2.74,54%,2.82,45%,89%,0.1
Magomed Ankalaev,Johnny Walker,Light Heavyweight,CNC,1,3:13,NC,95%,20,19,1,0,3.64,53%,2.25,59%,1.02,31%,86%,0,72%,29,21,8,0,3.81,53%,2.83,44%,0.46,100%,57%,0.9
Ikram Aliskerov,Warlley Alves,Middleweight,KO/TKO Punches,1,2:07,Win,94%,16,15,1,0,8.24,65%,7.15,36%,2.33,33%,0%,2.3,68%,22,15,7,0,3.25,48%,4.21,50%,1.35,50%,80%,0.9
Said Nurmagomedov,Muin Gafurov,Bantamweight,SUB Guillotine Choke,1,1:13,Win,86%,21,18,3,0,3.55,47%,2.13,57%,1.01,16%,66%,1.4,75%,24,18,6,0,2.98,41%,2.95,48%,2.4,26%,62%,0
